ID;NAME;EVA_ID
BHF;Berlin Ostbahnhof;8010255
BOKO;Berlin Ostkreuz;8011162
BOK;Berlin Ostkreuz (S);8089028
BPWA;Berlin Plänterwald;8089030
BPOE;Berlin Poelchaustr.;8089031
BPOF;Berlin Potsdamer Platz;8011118
BPOP;Berlin Potsdamer Platz (S);8089032
BPLA;Berlin Prenzlauer Allee;8089033
BPRS;Berlin Priesterweg;8089034
BRW;Berlin Raoul-Wallenberg-Str.;8089035
BSZG;Berlin Rathaus Steglitz;8089036
BSAP;Berlin Savignyplatz;8089037
BSC;Berlin Schichauweg;8089038
BSAL;Berlin Schönhauser Allee;8089039
BSO;Berlin Sonnenallee;8089327
BSPH;Berlin Springpfuhl;8089040
BSTO;Berlin Storkower Str;8089041
BSDE;Berlin Südende;8089115
BPAF;Berlin Südkreuz;8011113
BSKR;Berlin Südkreuz (S);8089073
BSDG;Berlin Sundgauer Str;8089042
BTP;Berlin Treptower Park;8089043
BWSS;Berlin Wannsee;8010405
BWRS;Berlin Warschauer Straße;8089045
BWES;Berlin Westend;8089111
BWH;Berlin Westhafen;8089116
BWKR;Berlin Westkreuz;8089047
BWOK;Berlin Wollankstraße;8089048
BWT;Berlin Wuhletal;8089049
BGGS;Berlin Yorckstr.(S1);8089051
BYOR;Berlin Yorckstr.(S2);8089050
BZOO;Berlin Zoologischer Garten;8010406
BADL;Berlin-Adlershof;8089052
BAGL;Berlin-Altglienicke;8089054
BBDF;Berlin-Biesdorf;8089055
BBLB;Berlin-Blankenburg;8089056
BBU;Berlin-Buch;8089057
BCHB;Berlin-Charlottenburg;8010403
BFRU;Berlin-Friedenau;8089058
BFFO;Berlin-Friedrichsfelde Ost;8089059
BFRH;Berlin-Friedrichshagen;8089060
BFOH;Berlin-Frohnau;8089061
BGAS;Berlin-Grünau;8089063
BGWD;Berlin-Grunewald;8089062
BHAL;Berlin-Halensee;8089109
BHLS;Berlin-Heiligensee;8089025
BHED;Berlin-Hermsdorf;8089064
BHI;Berlin-Hirschgarten;8089065
BHSH;Berlin-Hohenschönhausen;8011901
BKH;Berlin-Karlshorst;8010035
BKRW;Berlin-Karow;8011046
BKAD;Berlin-Kaulsdorf;8089068
BKPK;Berlin-Köpenick;8089069
BLAK;Berlin-Lankwitz;8089114
BLO;Berlin-Lichtenberg;8010036
BLRD;Berlin-Lichtenrade;8089070
BLIH;Berlin-Lichterfelde Ost;8011041
BLIO;Berlin-Lichterfelde Ost (S);8089113
BLIS;Berlin-Lichterfelde Süd;8089472
BLIW;Berlin-Lichterfelde West;8089071
BMDF;Berlin-Mahlsdorf;8089072
BMF;Berlin-Marienfelde;8089074
BMAZ;Berlin-Marzahn;8089075
BNKN;Berlin-Neukölln;8089077
BNIS;Berlin-Nikolassee;8089078
BOSP;Berlin-Oberspree;8089079
BPKW;Berlin-Pankow;8089080
BPHD;Berlin-Pankow-Heinersdorf;8089081
BPIC;Berlin-Pichelsberg;8089331
BRD;Berlin-Rahnsdorf;8089082
